CQS Symbol,ETF,Financial Status,Listing Exchange,Market Category,NASDAQ Symbol,Nasdaq Traded,NextShares,Round Lot Size,Security Name,Symbol,Test Issue
"",N,N,Q,G,AEHAW,Y,N,100,Aesther Healthcare Acquisition Corp - Warrants,AEHAW,N
"",N,D,Q,S,AEHL,Y,N,100,Antelope Enterprise Holdings Limited - Common Stock,AEHL,N
"",N,N,Q,S,AEHR,Y,N,100,Aehr Test Systems - Common Stock,AEHR,N
"",N,N,Q,S,AEI,Y,N,100,Alset Inc. - Common Stock,AEI,N
"",N,N,Q,Q,AEIS,Y,N,100,"Advanced Energy Industries, Inc. - Common Stock",AEIS,N
AEL,N,"",N, ,AEL,Y,N,100,American Equity Investment Life Holding Company Common Stock,AEL,N
AELpA,N,"",N, ,AEL-A,Y,N,100,"American Equity Investment Life Holding Company Depositary Shares, each representing a 1/1,000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock, Series A",AEL$A,N
AELpB,N,"",N, ,AEL-B,Y,N,100,"American Equity Investment Life Holding Company Depositary Shares, each representing a 1/1,000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock, Series B",AEL$B,N
AEM,N,"",N, ,AEM,Y,N,100,Agnico Eagle Mines Limited Common Stock,AEM,N
AEMB,Y,"",P, ,AEMB,Y,N,100,American Century Emerging Markets Bond ETF,AEMB,N
"",N,D,Q,S,AEMD,Y,N,100,"Aethlon Medical, Inc. - Common Stock",AEMD,N
AENZ,N,"",N, ,AENZ,Y,N,100,Aenza S.A.A. American Depositary Shares,AENZ,N
AEO,N,"",N, ,AEO,Y,N,100,"American Eagle Outfitters, Inc. Common Stock",AEO,N
"",N,N,Q,Q,AEP,Y,N,100,"American Electric Power Company, Inc. - Common Stock",AEP,N
"",N,N,Q,Q,AEPPZ,Y,N,100,"American Electric Power Company, Inc. - Corporate Unit",AEPPZ,N
AER,N,"",N, ,AER,Y,N,100,AerCap Holdings N.V. Ordinary Shares,AER,N
AES,N,"",N, ,AES,Y,N,100,The AES Corporation Common Stock,AES,N
AESC,N,"",N, ,AESC,Y,N,100,The AES Corporation Corporate Units,AESC,N
AESR,Y,"",Z, ,AESR,Y,N,100,Anfield U.S. Equity Sector Rotation ETF,AESR,N
